,time,emotions
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Sad
0,2020-05-10 03:11:17,Sad
0,2020-05-10 03:11:17,Sad
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Angry
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Surprise
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Neutral
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
0,2020-05-10 03:11:17,Happy
