,time,emotions
0,2020-05-11 17:25:58,Surprise
0,2020-05-11 17:26:01,Surprise
0,2020-05-11 17:26:02,Surprise
0,2020-05-11 17:26:02,Neutral
0,2020-05-11 17:26:03,Neutral
0,2020-05-11 17:26:04,Neutral
0,2020-05-11 17:26:05,Happy
0,2020-05-11 17:26:06,Happy
0,2020-05-11 17:26:07,Happy
0,2020-05-11 17:26:07,Neutral
0,2020-05-11 17:26:08,Neutral
0,2020-05-11 17:26:09,Happy
0,2020-05-11 17:26:10,Happy
0,2020-05-11 17:26:11,Happy
0,2020-05-11 17:26:12,Surprise
0,2020-05-11 17:26:12,Neutral
0,2020-05-11 17:26:13,Neutral
0,2020-05-11 17:26:15,Neutral
0,2020-05-11 17:26:16,Neutral
0,2020-05-11 17:26:16,Neutral
0,2020-05-11 17:26:17,Surprise
0,2020-05-11 17:26:19,Surprise
0,2020-05-11 17:26:20,Neutral
0,2020-05-11 17:26:21,Neutral
0,2020-05-11 17:26:21,Neutral
0,2020-05-11 17:26:22,Neutral
0,2020-05-11 17:26:23,Surprise
0,2020-05-11 17:26:24,Neutral
0,2020-05-11 17:26:25,Neutral
0,2020-05-11 17:26:26,Neutral
0,2020-05-11 17:26:27,Surprise
0,2020-05-11 17:26:28,Neutral
0,2020-05-11 17:26:29,Neutral
0,2020-05-11 17:26:30,Neutral
0,2020-05-11 17:26:30,Neutral
0,2020-05-11 17:26:31,Neutral
0,2020-05-11 17:26:32,Neutral
0,2020-05-11 17:26:33,Neutral
0,2020-05-11 17:26:34,Neutral
0,2020-05-11 17:26:35,Happy
0,2020-05-11 17:26:35,Neutral
0,2020-05-11 17:26:36,Neutral
0,2020-05-11 17:26:37,Neutral
0,2020-05-11 17:26:38,Neutral
0,2020-05-11 17:26:39,Neutral
0,2020-05-11 17:26:40,Neutral
0,2020-05-11 17:26:40,Neutral
0,2020-05-11 17:26:41,Neutral
0,2020-05-11 17:26:42,Neutral
0,2020-05-11 17:26:43,Neutral
0,2020-05-11 17:26:44,Neutral
0,2020-05-11 17:26:45,Neutral
0,2020-05-11 17:26:45,Neutral
0,2020-05-11 17:26:46,Neutral
0,2020-05-11 17:26:48,Neutral
0,2020-05-11 17:26:49,Neutral
0,2020-05-11 17:26:49,Angry
0,2020-05-11 17:26:50,Angry
0,2020-05-11 17:26:51,Angry
0,2020-05-11 17:26:52,Angry
0,2020-05-11 17:26:53,Neutral
0,2020-05-11 17:26:54,Happy
0,2020-05-11 17:26:54,Happy
0,2020-05-11 17:26:55,Neutral
0,2020-05-11 17:26:56,Neutral
0,2020-05-11 17:26:57,Neutral
0,2020-05-11 17:26:58,Neutral
0,2020-05-11 17:26:59,Neutral
0,2020-05-11 17:26:59,Neutral
0,2020-05-11 17:27:00,Neutral
0,2020-05-11 17:27:01,Neutral
0,2020-05-11 17:27:02,Happy
0,2020-05-11 17:27:03,Happy
0,2020-05-11 17:27:03,Happy
0,2020-05-11 17:27:04,Happy
0,2020-05-11 17:27:05,Happy
0,2020-05-11 17:27:06,Happy
0,2020-05-11 17:27:07,Happy
0,2020-05-11 17:27:08,Happy
0,2020-05-11 17:27:08,Happy
0,2020-05-11 17:27:09,Happy
0,2020-05-11 17:27:10,Neutral
0,2020-05-11 17:27:11,Neutral
0,2020-05-11 17:27:12,Neutral
0,2020-05-11 17:27:13,Neutral
0,2020-05-11 17:27:13,Neutral
0,2020-05-11 17:27:14,Neutral
0,2020-05-11 17:27:15,Neutral
0,2020-05-11 17:27:16,Neutral
0,2020-05-11 17:27:17,Neutral
0,2020-05-11 17:27:18,Neutral
0,2020-05-11 17:27:18,Neutral
0,2020-05-11 17:27:19,Surprise
0,2020-05-11 17:27:20,Neutral
0,2020-05-11 17:27:21,Neutral
0,2020-05-11 17:27:22,Neutral
0,2020-05-11 17:27:23,Neutral
0,2020-05-11 17:27:24,Neutral
0,2020-05-11 17:27:25,Neutral
