,time,emotions
0,2020-05-11 08:15:23,Neutral
0,2020-05-11 08:15:24,Neutral
0,2020-05-11 08:15:25,Surprise
0,2020-05-11 08:15:26,Neutral
0,2020-05-11 08:15:27,Surprise
0,2020-05-11 08:15:29,Neutral
0,2020-05-11 08:15:30,Neutral
0,2020-05-11 08:15:37,Neutral
0,2020-05-11 08:15:43,Neutral
0,2020-05-11 08:15:43,Neutral
0,2020-05-11 08:15:44,Neutral
0,2020-05-11 08:15:49,Neutral
0,2020-05-11 08:15:53,Neutral
0,2020-05-11 08:15:53,Neutral
0,2020-05-11 08:15:54,Neutral
0,2020-05-11 08:15:58,Neutral
0,2020-05-11 08:16:04,Neutral
0,2020-05-11 08:16:05,Neutral
0,2020-05-11 08:19:16,Neutral
0,2020-05-11 08:19:19,Neutral
0,2020-05-11 08:19:19,Neutral
0,2020-05-11 08:19:20,Neutral
0,2020-05-11 08:19:21,Neutral
0,2020-05-11 08:19:22,Neutral
0,2020-05-11 08:19:23,Neutral
0,2020-05-11 08:19:23,Neutral
0,2020-05-11 08:19:24,Neutral
0,2020-05-11 08:19:25,Neutral
0,2020-05-11 08:19:26,Neutral
0,2020-05-11 08:19:27,Neutral
0,2020-05-11 08:19:27,Neutral
0,2020-05-11 08:19:28,Neutral
0,2020-05-11 08:19:29,Neutral
0,2020-05-11 08:19:30,Neutral
0,2020-05-11 08:19:31,Neutral
0,2020-05-11 08:19:31,Neutral
0,2020-05-11 08:19:32,Neutral
0,2020-05-11 08:19:33,Neutral
0,2020-05-11 08:19:34,Neutral
0,2020-05-11 08:19:35,Happy
0,2020-05-11 08:19:36,Happy
0,2020-05-11 08:19:36,Happy
0,2020-05-11 08:19:37,Happy
0,2020-05-11 08:19:38,Neutral
0,2020-05-11 08:19:39,Neutral
0,2020-05-11 08:19:40,Neutral
0,2020-05-11 08:19:40,Neutral
0,2020-05-11 08:19:41,Neutral
0,2020-05-11 08:19:42,Neutral
0,2020-05-11 08:19:43,Neutral
0,2020-05-11 08:19:44,Neutral
0,2020-05-11 08:19:45,Angry
0,2020-05-11 08:19:45,Neutral
0,2020-05-11 08:19:46,Neutral
0,2020-05-11 08:19:47,Neutral
0,2020-05-11 08:19:48,Neutral
0,2020-05-11 08:19:49,Neutral
0,2020-05-11 08:19:49,Neutral
0,2020-05-11 08:19:50,Neutral
0,2020-05-11 08:19:51,Neutral
0,2020-05-11 08:19:52,Neutral
0,2020-05-11 08:19:53,Neutral
0,2020-05-11 08:19:53,Neutral
0,2020-05-11 08:19:54,Neutral
0,2020-05-11 08:19:55,Sad
0,2020-05-11 08:19:56,Neutral
0,2020-05-11 08:19:57,Neutral
0,2020-05-11 08:19:58,Neutral
0,2020-05-11 08:19:58,Neutral
0,2020-05-11 08:19:59,Neutral
0,2020-05-11 08:20:00,Neutral
0,2020-05-11 08:20:02,Neutral
0,2020-05-11 08:20:02,Neutral
0,2020-05-11 08:20:03,Neutral
0,2020-05-11 08:20:04,Neutral
0,2020-05-11 08:20:05,Neutral
0,2020-05-11 08:20:06,Neutral
0,2020-05-11 08:20:06,Neutral
0,2020-05-11 08:20:07,Neutral
0,2020-05-11 08:20:08,Neutral
0,2020-05-11 08:20:09,Neutral
0,2020-05-11 08:20:10,Neutral
0,2020-05-11 08:20:10,Neutral
0,2020-05-11 08:20:11,Neutral
0,2020-05-11 08:20:12,Neutral
0,2020-05-11 08:20:13,Neutral
0,2020-05-11 08:20:14,Neutral
0,2020-05-11 08:20:14,Neutral
0,2020-05-11 08:20:16,Neutral
0,2020-05-11 08:20:17,Neutral
0,2020-05-11 08:20:18,Neutral
0,2020-05-11 08:20:18,Neutral
0,2020-05-11 08:20:19,Neutral
0,2020-05-11 08:20:20,Neutral
0,2020-05-11 08:20:21,Neutral
0,2020-05-11 08:20:22,Neutral
0,2020-05-11 08:20:23,Neutral
0,2020-05-11 08:20:23,Neutral
0,2020-05-11 08:20:24,Neutral
0,2020-05-11 08:20:25,Neutral
0,2020-05-11 08:20:27,Neutral
0,2020-05-11 08:20:27,Neutral
0,2020-05-11 08:20:28,Neutral
0,2020-05-11 08:20:29,Neutral
0,2020-05-11 08:20:30,Neutral
0,2020-05-11 08:20:31,Neutral
0,2020-05-11 08:20:31,Neutral
0,2020-05-11 08:20:32,Neutral
0,2020-05-11 08:20:33,Surprise
0,2020-05-11 08:20:34,Neutral
0,2020-05-11 08:20:37,Angry
0,2020-05-11 08:20:41,Sad
0,2020-05-11 08:20:43,Neutral
0,2020-05-11 08:20:44,Angry
0,2020-05-11 08:20:50,Neutral
0,2020-05-11 08:20:51,Neutral
0,2020-05-11 08:20:52,Neutral
0,2020-05-11 08:20:52,Angry
0,2020-05-11 08:20:53,Neutral
0,2020-05-11 08:20:54,Neutral
0,2020-05-11 08:20:55,Neutral
0,2020-05-11 08:20:56,Neutral
0,2020-05-11 08:20:56,Neutral
0,2020-05-11 08:20:57,Neutral
0,2020-05-11 08:20:58,Neutral
0,2020-05-11 08:20:59,Neutral
0,2020-05-11 08:21:00,Neutral
